agents	prompt_n	agg_decode_tps	per_agent_tps	e2e_gen_tps	prefill_tps	batch_wall_s	status
1	2048	78.54	78.54	45.73	882.48	5.6	OK
2	2048	71.81	35.9	47.46	708.93	10.79	OK
4	2048	85.73	21.43	53.4	378.16	19.18	OK
8	2048	91.4	11.43	58.02	316.71	35.3	OK
16	2048	98.01	6.13	62.12	272.3	65.94	OK
24	2048	103.24	4.3	64.23	258.01	95.65	OK
32	2048	112.02	3.5	67.62	250.78	121.16	OK
40	2048	115.63	2.89	68.63	254.98	149.21	OK
48	2048	122.88	2.56	71.07	252.73	172.89	OK
56	2048	126.43	2.26	63.29	248.51	226.51	OK
